@relation input_channel_0

@attribute channel_0_0 numeric
@attribute channel_0_1 numeric
@attribute channel_0_2 numeric
@attribute channel_0_3 numeric
@attribute channel_0_4 numeric
@attribute channel_0_5 numeric
@attribute channel_0_6 numeric
@attribute channel_0_7 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
47,27,57,26,0,56,100,40,8
0,27,42,29,15,37,69,100,2
0,31,72,100,76,50,28,16,1
0,7,5,19,86,100,74,67,4
0,49,100,81,60,40,33,47,1
100,88,49,17,0,37,73,20,6
0,3,26,85,100,73,65,66,4
0,2,11,63,100,89,36,0,0
13,12,72,56,4,0,32,100,5
57,22,0,25,75,100,75,26,0
74,31,0,62,100,100,84,18,9
48,62,88,21,21,79,100,0,8
100,72,36,34,79,64,19,0,5
91,54,0,23,81,100,79,21,9
0,38,81,87,84,58,53,100,7
35,57,100,68,81,82,32,0,3
50,66,75,51,100,97,49,0,3
99,63,25,79,100,97,54,0,9
24,43,59,34,0,16,58,100,2
0,19,72,70,32,5,46,100,2
12,20,78,50,1,0,23,100,5
0,49,78,100,91,85,75,89,1
10,34,68,34,4,0,34,100,5
73,53,0,82,100,15,52,90,8
54,34,6,0,70,100,44,36,6
11,0,15,87,100,74,71,66,4
36,7,0,26,77,100,84,36,0
46,10,34,100,71,49,22,0,4
61,58,0,44,80,8,33,100,8
100,31,0,8,15,15,0,0,1
32,53,100,79,48,93,58,0,8
40,51,79,39,0,8,46,100,5
0,36,80,68,56,25,50,100,7
27,1,16,70,100,92,44,0,0
0,31,63,88,100,82,56,79,9
30,67,77,53,78,100,56,0,3
29,14,66,30,0,3,39,100,5
77,40,0,9,84,100,77,48,4
64,0,97,89,14,100,96,28,9
9,53,89,57,17,0,50,100,2
0,62,100,69,50,35,15,86,7
30,16,68,52,0,15,41,100,5
60,20,0,10,69,100,56,15,6
0,29,88,64,73,100,50,10,3
5,46,89,100,77,62,37,0,3
100,67,24,0,27,99,77,9,6
47,73,89,68,100,82,38,0,3
29,45,78,60,25,0,50,100,2
1,0,59,36,11,4,28,100,5
63,40,70,100,79,55,29,0,4
11,56,83,52,87,100,55,0,3
51,68,100,83,59,34,10,0,1
56,18,0,36,85,100,58,19,0
0,47,100,91,72,53,35,19,1
17,0,6,77,100,73,71,75,4
41,17,50,31,0,1,49,100,5
20,62,100,68,82,89,42,0,3
12,40,74,52,13,0,50,100,2
18,0,10,54,100,95,52,5,0
97,41,4,0,52,100,49,8,6
57,100,0,36,95,2,5,91,8
30,87,100,37,46,99,59,0,5
12,0,44,92,100,70,15,0,0
0,50,72,37,51,100,62,3,3
0,61,100,63,36,14,9,47,7
100,67,26,41,47,0,38,96,8
37,84,100,52,32,74,41,0,5
